dong_xe,gia,hang,hop_so,kieu_dang,km_da_di,nam_sx,nhien_lieu,so_cho_ngoi,tinh_trang,xuat_xu
i20,440.000.000,Hyundai,Tự động,Hatchback,55,2015,Xăng,5,Đã sử dụng,Ấn Độ
Pajero,165.000.000,Mitsubishi,Số sàn,,202000,1997,,,Đã sử dụng,
EcoSport,604.000.000,Ford,Tự động,Hatchback,,2021,Xăng,5,Mới,Việt Nam
C Class,1.399.000.000,Mercedes Benz,Tự động,Sedan,36000,2019,Xăng,5,Đã sử dụng,Việt Nam
Mondeo,145.000.000,Ford,Tự động,Sedan,13979,2003,Xăng,5,Đã sử dụng,Việt Nam
City,409.000.000,Honda,Tự động,Sedan,45000,2016,Xăng,5,Đã sử dụng,Việt Nam
CR V,960.000.000,Honda,Tự động,SUV / Cross over,5000,2020,Xăng,5,Đã sử dụng,Việt Nam
Carnival,1.179.000.000,Kia,Tự động,Minivan (MPV),,2021,Dầu,7,Mới,Việt Nam
Accent,381.000.000,Hyundai,Số sàn,Sedan,,2021,Xăng,5,Mới,Việt Nam
Vios,256.000.000,Toyota,Số sàn,Sedan,8000,2015,Xăng,5,Đã sử dụng,Việt Nam
Escape,325.000.000,Ford,Tự động,SUV / Cross over,200000,2011,Xăng,5,Đã sử dụng,
Accent,510.000.000,Hyundai,Tự động,Sedan,,2021,Xăng,5,Mới,Hàn Quốc
X trail,820.000.000,Nissan,Tự động,SUV / Cross over,30000,2019,,7,Đã sử dụng,Việt Nam
Innova,588.000.000,Toyota,Số sàn,Minivan (MPV),27000,2019,Xăng,8,Đã sử dụng,Việt Nam
Captiva,187.000.000,Chevrolet,Số sàn,SUV / Cross over,20000,2008,Xăng,7,Đã sử dụng,Hàn Quốc
3,492.000.000,Mazda,Tự động,Sedan,72000,2016,Xăng,5,Đã sử dụng,
Fortuner,958.000.000,Toyota,Tự động,SUV / Cross over,48000,2019,Xăng,7,Đã sử dụng,
Morning,279.000.000,Kia,Tự động,Hatchback,38000,2016,Xăng,2,Đã sử dụng,Hàn Quốc
Spark,83.000.000,Chevrolet,Số sàn,Hatchback,767056,2010,Xăng,5,Đã sử dụng,
Transit,148.000.000,Ford,Số sàn,Van,123,2006,Dầu,6,Đã sử dụng,Mỹ
Pajero,1.050.000.000,Mitsubishi,Tự động,SUV / Cross over,82000,2014,Xăng,7,Đã sử dụng,Nhật Bản
GLA Class,1.425.000.000,Mercedes Benz,Tự động,Hatchback,13000,2019,Xăng,5,Đã sử dụng,Đức
Orlando,470.000.000,Chevrolet,Bán tự động,Minivan (MPV),45,2018,Xăng,7,Đã sử dụng,Việt Nam
Camry,195.000.000,Toyota,Số sàn,Sedan,180000,2000,Xăng,5,Đã sử dụng,Việt Nam
CX 8,1.135.000.000,Mazda,Tự động,SUV / Cross over,5000,2021,Xăng,7,Đã sử dụng,Việt Nam
Q7,4.150.000.000,Audi,Tự động,SUV / Cross over,10000,2021,Xăng,7,Đã sử dụng,Nước khác
Civic,789.000.000,Honda,Tự động,Sedan,12000,2020,Xăng,5,Đã sử dụng,Thái Lan
Outlander,783.000.000,Mitsubishi,Tự động,SUV / Cross over,,2021,Xăng,7,Mới,Nhật Bản
Pajero,296.000.000,Mitsubishi,Tự động,SUV / Cross over,150000,2007,Xăng,5,Đã sử dụng,Nhật Bản
3 Series,850.000.000,BMW,Tự động,Sedan,70000,2015,Xăng,5,Đã sử dụng,Đức
GLC,2.499.000.000,Mercedes Benz,Tự động,SUV / Cross over,,2021,Xăng,5,Mới,Đức
BT 50,470.000.000,Mazda,Số sàn,Pick-up (bán tải),96468,2017,Dầu,5,Đã sử dụng,Thái Lan
Morning,250.000.000,Kia,Số sàn,Hatchback,22000,2016,Xăng,5,Đã sử dụng,Việt Nam
Everest,165.000.000,Ford,Số sàn,SUV / Cross over,150000,2005,Dầu,7,Đã sử dụng,Việt Nam
Xpander,555.000.000,Mitsubishi,Tự động,SUV / Cross over,,2019,Xăng,7,Đã sử dụng,Nước khác
Innova,378.000.000,Toyota,Số sàn,Minivan (MPV),100,2015,Xăng,8,Đã sử dụng,
Fadil,359.000.000,Vinfast,Tự động,Hatchback,21000,2019,Xăng,5,Đã sử dụng,Việt Nam
X5,265.000.000,BMW,Tự động,SUV / Cross over,170,2004,Xăng,5,Đã sử dụng,Mỹ
Camry,518.888.888,Toyota,Tự động,Sedan,125000,2012,Xăng,5,Đã sử dụng,Việt Nam
Camry,388.000.000,Toyota,Tự động,Sedan,12,2008,Xăng,5,Đã sử dụng,
City,599.000.000,Honda,Tự động,Sedan,,2021,Xăng,5,Mới,Việt Nam
3,545.000.000,Mazda,Tự động,Sedan,20000,2018,,5,Đã sử dụng,Việt Nam
CR V,899.000.000,Honda,Tự động,SUV / Cross over,29000,2018,Xăng,7,Đã sử dụng,Việt Nam
Trax,450.000.000,Chevrolet,Tự động,SUV / Cross over,50000,2017,Xăng,5,Đã sử dụng,Hàn Quốc
Terrano,895.000.000,Nissan,Tự động,Minivan (MPV),9000,2019,,7,Đã sử dụng,Việt Nam
Mondeo,130.000.000,Ford,Tự động,Sedan,175541,2004,Xăng,5,Đã sử dụng,Mỹ
Captiva,670.000.000,Chevrolet,Bán tự động,SUV / Cross over,40,2018,Xăng,7,Đã sử dụng,Việt Nam
S Class,328.000.000,Mercedes Benz,Tự động,Sedan,18889,2004,,5,Đã sử dụng,Đức
Accent,496.000.000,Hyundai,Tự động,Sedan,,2021,Xăng,5,Mới,Việt Nam
3,575.000.000,Mazda,Tự động,Hatchback,30099,2018,Xăng,5,Đã sử dụng,Việt Nam
Accord,550.000.000,Honda,Tự động,Sedan,60000,2012,Xăng,5,Đã sử dụng,Thái Lan
Corolla Cross,885.000.000,Toyota,Tự động,Sedan,3000,2021,Xăng,5,Đã sử dụng,Thái Lan
Avanlanche,260.000.000,Chevrolet,Số sàn,,15000,2017,,,Đã sử dụng,
Wigo,385.000.000,Toyota,Tự động,Hatchback,,2021,Xăng,5,Mới,Nước khác
Everest,1.025.000.000,Ford,Tự động,SUV / Cross over,,2021,Dầu,7,Mới,Thái Lan
3,540.000.000,Mazda,Tự động,Hatchback,47000,2017,Xăng,5,Đã sử dụng,Việt Nam
Vios,422.000.000,Toyota,Bán tự động,Sedan,1234,2018,Xăng,5,Đã sử dụng,Việt Nam
Sorento,1.265.000.000,Kia,Tự động,SUV / Cross over,,2021,Dầu,7,Mới,Hàn Quốc
Triton,760.000.000,Mitsubishi,Tự động,Pick-up (bán tải),,2021,Dầu,5,Mới,Nhật Bản
Ranger,479.797.979,Ford,Số sàn,Pick-up (bán tải),106686,2015,Dầu,5,Đã sử dụng,Thái Lan
Carens,255.000.000,Kia,Tự động,Minivan (MPV),,2008,Xăng,7,Đã sử dụng,
EcoSport,405.000.000,Ford,Tự động,SUV / Cross over,72873,2015,Xăng,5,Đã sử dụng,Việt Nam
K3,659.000.000,Kia,Tự động,Sedan,,2021,Xăng,5,Mới,Việt Nam
C Class,1.499.000.000,Mercedes Benz,Tự động,Sedan,,2021,Xăng,5,Mới,Đức
Morning,120.000.000,Kia,Số sàn,Hatchback,5,2011,Xăng,5,Đã sử dụng,Việt Nam
CX 5,839.000.000,Mazda,Tự động,SUV / Cross over,,2021,Xăng,5,Đã sử dụng,Việt Nam
2,437.000.000,Mazda,Tự động,Sedan,,2021,Xăng,5,Mới,Thái Lan
Cerato,515.000.000,Kia,Tự động,Sedan,60000,2017,Xăng,5,Đã sử dụng,Việt Nam
Dòng khác,280.000.000,Hãng khác,Số sàn,Mui trần,,trước năm 1980,Xăng,5,Đã sử dụng,Mỹ
626,95.000.000,Mazda,Số sàn,Sedan,260000,1998,Xăng,5,Đã sử dụng,Nhật Bản
Vios,415.000.000,Toyota,Tự động,Sedan,75000,2018,Xăng,5,Đã sử dụng,Việt Nam
Getz,220.000.000,Hyundai,Tự động,Hatchback,110000,2009,Xăng,5,Đã sử dụng,Hàn Quốc
Outlander,725.000.000,Mitsubishi,Tự động,SUV / Cross over,35,2019,Xăng,5,Đã sử dụng,Việt Nam
Aveo,180.000.000,Chevrolet,Số sàn,Sedan,80000,2013,Xăng,5,Đã sử dụng,Nước khác
SM3,360.000.000,Samsung,Tự động,,73050,2015,,,Đã sử dụng,
HS,684.000.000,MG,Tự động,SUV / Cross over,,2021,Xăng,5,Mới,Trung Quốc
Tourneo,935.000.000,Ford,Tự động,Minivan (MPV),,2021,Xăng,7,Mới,Việt Nam
ES,129.000.000,Lexus,Số sàn,Sedan,177999,1992,Xăng,4,Đã sử dụng,Nhật Bản
Innova,400.000.000,Toyota,Tự động,Minivan (MPV),128000,2012,Xăng,8,Đã sử dụng,Việt Nam
Innova,339.000.000,Toyota,Số sàn,SUV / Cross over,99,2015,Xăng,8,Đã sử dụng,Việt Nam
Innova,320.000.000,Toyota,Số sàn,Minivan (MPV),86789,2011,Xăng,8,Đã sử dụng,Nhật Bản
Fortuner,655.000.000,Toyota,Số sàn,SUV / Cross over,120000,2016,Dầu,7,Đã sử dụng,Việt Nam
Rush,634.000.000,Toyota,Tự động,SUV / Cross over,,2021,Xăng,7,Mới,Nước khác
Innova,289.000.000,Toyota,Số sàn,SUV / Cross over,88,2013,Xăng,8,Đã sử dụng,Việt Nam
CR V,1.118.000.000,Honda,Tự động,SUV / Cross over,,2021,Xăng,7,Mới,Việt Nam
Range Rover Sport,888.000.000,LandRover,Tự động,SUV / Cross over,120000,2010,Xăng,5,Đã sử dụng,Mỹ
Fortuner,900.000.000,Toyota,Số sàn,Hatchback,1500,2020,Dầu,7,Đã sử dụng,Việt Nam
Outlander,779.000.000,Mitsubishi,Tự động,SUV / Cross over,30000,2017,Xăng,7,Đã sử dụng,Nhật Bản
Everest,955.000.000,Ford,Tự động,SUV / Cross over,66666,2018,Dầu,7,Đã sử dụng,Việt Nam
Corolla Cross,820.000.000,Toyota,Tự động,SUV / Cross over,,2021,Xăng,5,Mới,Thái Lan
E Class,1.528.000.000,Mercedes Benz,Tự động,Sedan,44000,2016,Xăng,5,Đã sử dụng,Đức
Innova,315.000.000,Toyota,Số sàn,Minivan (MPV),168218,2014,Xăng,8,Đã sử dụng,Việt Nam
Accent,495.000.000,Hyundai,Tự động,Sedan,,2021,Xăng,5,Mới,Hàn Quốc
Teana,380,Nissan,Tự động,Sedan,8,2010,Xăng,5,Đã sử dụng,Nhật Bản
Innova,230.000.000,Toyota,Số sàn,Minivan (MPV),150000,2008,Xăng,8,Đã sử dụng,Nhật Bản
Corolla,130.000.000,Toyota,Số sàn,Sedan,150000,2000,Xăng,5,Đã sử dụng,Nhật Bản
Vios,345.000.000,Toyota,Số sàn,Sedan,61551,2017,Xăng,5,Đã sử dụng,Việt Nam
GLC,2.499.000.000,Mercedes Benz,Tự động,SUV / Cross over,,2021,Xăng,5,Mới,Đức
Dòng khác,215.000.000,Jeep,Số sàn,Mui trần,55000,trước năm 1980,Xăng,4,Đã sử dụng,Mỹ
Sorento,585.000.000,Kia,Tự động,SUV / Cross over,87000,2016,Xăng,7,Đã sử dụng,Việt Nam
Grand i10,288.000.000,Hyundai,Số sàn,Hatchback,100,2017,Xăng,5,Đã sử dụng,
3 Series,175.000.000,BMW,Tự động,Sedan,70000,2005,Xăng,4,Đã sử dụng,Đức
Accent,495.000.000,Hyundai,Tự động,Sedan,28000,2020,Xăng,5,Đã sử dụng,Việt Nam
Accent,465.000.000,Hyundai,Tự động,Sedan,23000,2019,Xăng,5,Đã sử dụng,Hàn Quốc
C Class,1.668.000.000,Mercedes Benz,Tự động,Sedan,20000,2019,Xăng,5,Đã sử dụng,
GLC,2.099.000.000,Mercedes Benz,Tự động,SUV / Cross over,,2021,Xăng,5,Mới,Đức
Ranger,650.000.000,Ford,Tự động,Pick-up (bán tải),,2021,Dầu,5,Mới,Việt Nam
Vios,385.000.000,Toyota,Tự động,Sedan,11000,2014,Xăng,5,Đã sử dụng,Việt Nam
Sorento,818.000.000,Kia,Tự động,SUV / Cross over,44000,2019,Dầu,5,Đã sử dụng,
Vios,478.000.000,Toyota,Tự động,Sedan,,2021,Xăng,5,Đã sử dụng,Việt Nam
Lux,1.065.000.000,Vinfast,Tự động,SUV / Cross over,20000,2020,,7,Đã sử dụng,Việt Nam
City,485.000.000,Honda,Tự động,Sedan,35000,2019,Xăng,5,Đã sử dụng,
Morning,290.000.000,Kia,Tự động,Hatchback,70000,2016,Xăng,5,Đã sử dụng,
Fortuner,660.000.000,Toyota,Số sàn,SUV / Cross over,60000,2015,Dầu,7,Đã sử dụng,Nhật Bản
GLS Class,3.150.000.000,Mercedes Benz,Bán tự động,SUV / Cross over,85,2016,Xăng,7,Đã sử dụng,Mỹ
Q5,1.930.000.000,Audi,Tự động,SUV / Cross over,28000,2018,Xăng,5,Đã sử dụng,Đức
Sprinter,280.000.000,Mercedes Benz,Số sàn,Van,200000,2011,Dầu,16,Đã sử dụng,Việt Nam
Morning,315.000.000,Kia,Tự động,Hatchback,37070,2018,Xăng,5,Đã sử dụng,
Outlander,699.000.000,Mitsubishi,Tự động,SUV / Cross over,35000,2019,Xăng,7,Đã sử dụng,Việt Nam
Dòng khác,78.000.000,Hãng khác,Số sàn,,,2005,,,Đã sử dụng,
Fortuner,1.015.000.000,Toyota,Tự động,SUV / Cross over,25000,2020,Dầu,5,Đã sử dụng,Việt Nam
Land Cruiser,165.000.000,Toyota,Số sàn,SUV / Cross over,200000,1994,Xăng,7,Đã sử dụng,Nhật Bản
Camry,1.005.000.000,Toyota,Tự động,Sedan,3900,2020,Xăng,5,Đã sử dụng,Thái Lan
C Class,605.000.000,Mercedes Benz,Tự động,Sedan,70000,2013,Xăng,5,Đã sử dụng,Việt Nam
Corolla Cross,720.000.000,Toyota,Tự động,SUV / Cross over,,2021,Xăng,5,Mới,Thái Lan
Carens,310.000.000,Kia,Số sàn,SUV / Cross over,128618,2016,Xăng,7,Đã sử dụng,Việt Nam
Explorer,1.890.000.000,Ford,Tự động,SUV / Cross over,30000,2019,Xăng,2,Đã sử dụng,Việt Nam
CD5,128.000.000,Kia,Số sàn,Sedan,86352,2004,Xăng,5,Đã sử dụng,Việt Nam
Land Cruiser Prado,2.548.000.000,Toyota,Tự động,SUV / Cross over,,2021,Xăng,7,Mới,Nhật Bản
Panamera,1.390.000.000,Porsche,Bán tự động,Sedan,78000,2010,Xăng,4,Đã sử dụng,Đức
Camry,775.000.000,Toyota,Tự động,Sedan,55000,2017,Xăng,5,Đã sử dụng,Việt Nam
Lacetti,135.000.000,Daewoo,Số sàn,Sedan,17,2008,Xăng,5,Đã sử dụng,Việt Nam
Dòng khác,159.000.000,Chevrolet,Số sàn,Kiểu dáng khác,1245,2009,Xăng,7,Đã sử dụng,Việt Nam
Tucson,575.000.000,Hyundai,Tự động,SUV / Cross over,,2021,Xăng,5,Mới,Việt Nam
Corolla Altis,318.000.000,Toyota,Số sàn,Sedan,107000,2008,Xăng,5,Đã sử dụng,
Spectra,85,Kia,Số sàn,Sedan,55555,2005,Dầu,5,Đã sử dụng,
Morning,295.000.000,Kia,Số sàn,Hatchback,30000,2019,Xăng,5,Đã sử dụng,
Escape,136.000.000,Ford,Tự động,SUV / Cross over,12000,2003,Xăng,5,Đã sử dụng,Việt Nam
Attrage,325.000.000,Mitsubishi,Số sàn,Sedan,40,2019,Xăng,5,Đã sử dụng,Thái Lan
Sunny,295.000.000,Nissan,Tự động,Sedan,90000,2014,Xăng,5,Đã sử dụng,Việt Nam
Avante,308.000.000,Hyundai,Tự động,Sedan,80000,2012,Xăng,5,Đã sử dụng,Việt Nam
Camry,486.000.000,Toyota,Tự động,Sedan,92000,2010,Xăng,5,Đã sử dụng,Việt Nam
3008,555.000.000,Peugeot,Tự động,Minivan (MPV),79000,2015,Xăng,5,Đã sử dụng,Việt Nam
Grand i10,288.888.000,Hyundai,Số sàn,Hatchback,6789,2017,Xăng,5,Đã sử dụng,Việt Nam
C Class,1.628.000.000,Mercedes Benz,Tự động,Sedan,30000,2019,Xăng,5,Đã sử dụng,
City,495.000.000,Honda,Tự động,Sedan,20000,2020,Xăng,5,Đã sử dụng,Việt Nam
100NX,35.000.000,Nissan,Số sàn,Sedan,8858,1997,Xăng,7,Đã sử dụng,Nhật Bản
Morning,158.000.000,Kia,Tự động,Hatchback,280000,2004,Xăng,5,Đã sử dụng,Hàn Quốc
XL 7,519.900.000,Suzuki,Tự động,SUV / Cross over,,2021,Xăng,7,Mới,Nhật Bản
Vios,385.000.000,Toyota,Số sàn,Sedan,8500,2019,Xăng,5,Đã sử dụng,Việt Nam
Camry,50.000.000,Toyota,Số sàn,Sedan,9999,1987,Xăng,5,Đã sử dụng,Nhật Bản
CR V,910.000.000,Honda,Bán tự động,SUV / Cross over,50,2018,Xăng,7,Đã sử dụng,Thái Lan
City,489.000.000,Honda,Tự động,Sedan,26000,2018,Xăng,5,Đã sử dụng,
Avante,265.000.000,Hyundai,Số sàn,Sedan,105000,2014,Xăng,5,Đã sử dụng,Hàn Quốc
Innova,265.000.000,Toyota,Số sàn,Minivan (MPV),19000,2009,Xăng,8,Đã sử dụng,Việt Nam
Transit,170.000.000,Ford,Số sàn,Hatchback,200000,2011,Dầu,16,Đã sử dụng,Việt Nam
Santa Fe,1.055.000.000,Hyundai,Tự động,SUV / Cross over,25000,2019,Xăng,7,Đã sử dụng,Việt Nam
Mirage,375.000.000,Mitsubishi,Tự động,Hatchback,30000,2019,Xăng,5,Đã sử dụng,Thái Lan
Camry,1.235.000.000,Toyota,Tự động,Sedan,,2021,,5,Mới,Thái Lan
CX 5,785.000.000,Mazda,Tự động,SUV / Cross over,20000,2018,Xăng,5,Đã sử dụng,Việt Nam
Civic,679.000.000,Honda,Tự động,Sedan,31000,2017,Xăng,5,Đã sử dụng,Thái Lan
Innova,352.000.000,Toyota,Số sàn,Minivan (MPV),81000,2015,Xăng,8,Đã sử dụng,Việt Nam
Wigo,384.000.000,Toyota,Tự động,Hatchback,,2021,Xăng,5,Mới,Nước khác
Pajero Sport,799.000.000,Mitsubishi,Tự động,SUV / Cross over,40000,2018,Xăng,7,Đã sử dụng,Thái Lan
Land Cruiser,7.250.000.000,Toyota,Tự động,SUV / Cross over,,2021,Xăng,7,Mới,Nước khác
Everest,350.000.000,Ford,Số sàn,SUV / Cross over,100000,2009,Dầu,7,Đã sử dụng,Việt Nam
Fiesta,345.000.000,Ford,Tự động,Hatchback,33000,2014,Xăng,5,Đã sử dụng,Thái Lan
Vios,278.000.000,Toyota,Số sàn,Sedan,65000,2017,Xăng,5,Đã sử dụng,Việt Nam
XC60,2.190.000.000,Volvo,Tự động,SUV / Cross over,,2021,Xăng,5,Mới,Nước khác
Cruze,357.000.000,Chevrolet,Tự động,Sedan,55000,2015,Xăng,5,Đã sử dụng,Việt Nam
Everest,360.000.000,Ford,Số sàn,SUV / Cross over,130000,2011,Xăng,7,Đã sử dụng,Việt Nam
Gentra,125.000.000,Daewoo,Số sàn,Sedan,12345,2009,Xăng,5,Đã sử dụng,Hàn Quốc
Land Cruiser,7.250.000.000,Toyota,Tự động,SUV / Cross over,,2021,Xăng,7,Mới,Nước khác
Camry,255.000.000,Toyota,Số sàn,Sedan,197000,2004,Xăng,5,Đã sử dụng,
Wigo,320.000.000,Toyota,Tự động,Hatchback,60000,2018,Xăng,5,Đã sử dụng,Nhật Bản
Innova,425.000.000,Toyota,Số sàn,Minivan (MPV),81000,2016,Xăng,8,Đã sử dụng,Việt Nam
Camry,509.000.000,Toyota,Tự động,Sedan,99999,2011,Xăng,5,Đã sử dụng,Việt Nam
Innova,275.000.000,Toyota,Số sàn,Minivan (MPV),200,2009,Xăng,8,Đã sử dụng,Việt Nam
Cerato,375.000.000,Kia,Số sàn,Sedan,80000,2016,Xăng,5,Đã sử dụng,
Grand i10,319.000.000,Hyundai,Tự động,,37000,2017,,,Đã sử dụng,
Rio,365.000.000,Kia,Tự động,Sedan,72000,2015,Xăng,5,Đã sử dụng,Hàn Quốc
Cerato,265.000.000,Kia,Số sàn,Sedan,60000,2011,,5,Đã sử dụng,Hàn Quốc
Matiz,56.000.000,Daewoo,Số sàn,Hatchback,1234,1999,Xăng,5,Đã sử dụng,Việt Nam
Fadil,382.500.000,Vinfast,Tự động,Hatchback,,2021,Xăng,5,Mới,Việt Nam
Civic,695.000.000,Honda,Tự động,Sedan,15000,2019,Xăng,5,Đã sử dụng,Thái Lan
Pajero Sport,850.000.000,Mitsubishi,Tự động,SUV / Cross over,25000,2019,Xăng,7,Đã sử dụng,Thái Lan
GLC,2.448.000.000,Mercedes Benz,Tự động,SUV / Cross over,30,2021,Xăng,5,Đã sử dụng,Việt Nam
Matiz,49.000.000,Daewoo,Số sàn,Hatchback,34628,2004,Xăng,5,Đã sử dụng,Việt Nam
Cerato,598.000.000,Kia,Tự động,Sedan,16000,2019,Xăng,5,Đã sử dụng,Việt Nam
Vios,248.000.000,Toyota,Số sàn,Sedan,86342,2009,Xăng,5,Đã sử dụng,Việt Nam
Kona,566.000.000,Hyundai,Tự động,,,2021,Xăng,,Mới,Việt Nam
IS,610.000.000,Lexus,Tự động,Sedan,80000,2007,Xăng,5,Đã sử dụng,Mỹ
CR V,960.000.000,Honda,Tự động,SUV / Cross over,5000,2020,Xăng,5,Đã sử dụng,Việt Nam
Dòng khác,78.000.000,Nissan,Số sàn,Kiểu dáng khác,12453,1993,Xăng,4,Đã sử dụng,Nhật Bản
Rondo,450.000.000,Kia,Bán tự động,Minivan (MPV),55,2016,Xăng,7,Đã sử dụng,Việt Nam
Ranger,488.000.000,Ford,Số sàn,Pick-up (bán tải),900000,2016,Dầu,5,Đã sử dụng,Thái Lan
Vios,388.000.000,Toyota,Số sàn,Sedan,52000,2018,Xăng,5,Đã sử dụng,Việt Nam
GentraX,210.000.000,Daewoo,Tự động,Hatchback,76852,2010,Xăng,5,Đã sử dụng,Hàn Quốc
Grand i10,360.000.000,Hyundai,Tự động,Hatchback,,2021,Xăng,5,Mới,Việt Nam
Corolla Cross,820.000.000,Toyota,Tự động,SUV / Cross over,,2021,Xăng,5,Mới,Thái Lan
Fortuner,650.000.000,Toyota,Tự động,SUV / Cross over,60000,2016,Xăng,7,Đã sử dụng,Việt Nam
2,390.000.000,Mazda,Tự động,Hatchback,71000,2015,Xăng,5,Đã sử dụng,Việt Nam
458,11.000.000.000,Ferrari,Bán tự động,Kiểu dáng khác,,2009,Xăng,2,Đã sử dụng,Nước khác
Elantra,399.000.000,Hyundai,Số sàn,Sedan,50000,2017,Xăng,5,Đã sử dụng,
Lux,1.026.000.000,Vinfast,Tự động,SUV / Cross over,,2021,Xăng,7,Mới,Việt Nam
Vios,470.000.000,Toyota,Tự động,Sedan,1900,2020,Xăng,5,Đã sử dụng,Việt Nam
Matiz,52.000.000,Daewoo,Số sàn,Hatchback,120000,2004,Xăng,5,Đã sử dụng,Hàn Quốc
Spark,198.000.000,Chevrolet,Tự động,Hatchback,85000,2015,Xăng,5,Đã sử dụng,Mỹ
Cerato,495.000.000,Kia,Tự động,Sedan,52000,2018,Xăng,5,Đã sử dụng,Việt Nam
EcoSport,368.000.000,Ford,Tự động,SUV / Cross over,67252,2015,Xăng,5,Đã sử dụng,Việt Nam
Lacetti,140.000.000,Daewoo,Số sàn,Sedan,190,2009,Xăng,5,Đã sử dụng,Việt Nam
Morning,139.000.000,Kia,Tự động,Hatchback,90000,2010,Xăng,2,Đã sử dụng,Hàn Quốc
Grand i10,263.000.000,Hyundai,Số sàn,Sedan,68000,2016,Xăng,5,Đã sử dụng,Ấn Độ
Corona,58.000.000,Toyota,Số sàn,Sedan,12345,1989,Xăng,5,Đã sử dụng,Nhật Bản
Corolla Altis,635.000.000,Toyota,Tự động,Sedan,34000,2018,Xăng,5,Đã sử dụng,Việt Nam
Innova,560.000.000,Toyota,Số sàn,Minivan (MPV),72000,2018,Xăng,8,Đã sử dụng,Việt Nam
Ranger,1.202.000.000,Ford,Tự động,Pick-up (bán tải),,2021,Dầu,5,Mới,Thái Lan
Mondeo,186.000.000,Ford,Tự động,Sedan,86459,2005,Xăng,5,Đã sử dụng,Việt Nam
Focus,305.000.000,Ford,Tự động,Hatchback,12000,2012,Xăng,5,Đã sử dụng,Việt Nam
Morning,205.000.000,Kia,Tự động,Hatchback,89000,2011,Xăng,5,Đã sử dụng,Việt Nam
RX,3.180.000.000,Lexus,Tự động,SUV / Cross over,,2021,Xăng,5,Mới,Nhật Bản
Focus,325.000.000,Ford,Tự động,Hatchback,70000,2011,Xăng,5,Đã sử dụng,Việt Nam
Innova,493.000.000,Toyota,Số sàn,Minivan (MPV),70000,2017,Xăng,8,Đã sử dụng,Việt Nam
Tucson,160.000.000,Hyundai,Tự động,SUV / Cross over,,2021,Xăng,5,Mới,Việt Nam
5008,950.000.000,Peugeot,Tự động,SUV / Cross over,45000,2019,,7,Đã sử dụng,Việt Nam
C Class,475.000.000,Mercedes Benz,Tự động,Sedan,1,2010,Xăng,5,Đã sử dụng,Đức
Mu X,668.000.000,Isuzu,Tự động,SUV / Cross over,69000,2016,Dầu,7,Đã sử dụng,Thái Lan
Gentra,160.000.000,Daewoo,Số sàn,Sedan,145,2011,Xăng,5,Đã sử dụng,Việt Nam
Cerato,465.000.000,Kia,Tự động,Sedan,45000,2017,Xăng,5,Đã sử dụng,Việt Nam
Fortuner,870.000.000,Toyota,Số sàn,SUV / Cross over,32000,2019,Dầu,7,Đã sử dụng,Nước khác
Colorado,525.000.000,Chevrolet,Tự động,Pick-up (bán tải),65000,2017,Dầu,5,Đã sử dụng,Thái Lan
Spark,198.000.000,Chevrolet,Số sàn,Hatchback,52000,2017,Xăng,5,Đã sử dụng,Việt Nam
Kona,581.000.000,Hyundai,Tự động,SUV / Cross over,,2021,Xăng,5,Mới,Việt Nam
Focus,610.000.000,Ford,Bán tự động,Hatchback,40,2016,Xăng,5,Đã sử dụng,Việt Nam
Ranger,123.456.789,Ford,Số sàn,Pick-up (bán tải),8000,2015,Dầu,5,Đã sử dụng,Thái Lan
Cielo,42.000.000,Daewoo,Số sàn,Sedan,136000,1996,Xăng,5,Đã sử dụng,Việt Nam
Camry,930.000.000,Toyota,Tự động,Sedan,49000,2019,Xăng,5,Đã sử dụng,Thái Lan
Vios,275.000.000,Toyota,Số sàn,Sedan,65000,2015,Xăng,5,Đã sử dụng,Việt Nam
Seltos,629.000.000,Kia,Tự động,SUV / Cross over,,2021,Xăng,5,Mới,Việt Nam
Zinger,240.000.000,Mitsubishi,Số sàn,SUV / Cross over,12000,2009,Xăng,8,Đã sử dụng,Việt Nam
Fortuner,995.000.000,Toyota,Số sàn,SUV / Cross over,,2021,Dầu,7,Mới,Việt Nam
Ranger,1.202.000.000,Ford,Tự động,Pick-up (bán tải),,2021,Dầu,5,Mới,Thái Lan
Wigo,366.000.000,Toyota,Tự động,Hatchback,1968,2020,Xăng,5,Đã sử dụng,Nước khác
Civic,695.000.000,Honda,Tự động,Sedan,48000,2020,Xăng,5,Đã sử dụng,
Everest,890.000.000,Ford,Tự động,SUV / Cross over,45000,2016,Dầu,7,Đã sử dụng,Thái Lan
Cefiro,48.000.000,Nissan,Số sàn,Sedan,238989,1992,Xăng,5,Đã sử dụng,Nhật Bản
Yaris,463.000.000,Toyota,Tự động,Hatchback,30000,2015,Xăng,5,Đã sử dụng,Thái Lan
Siena,75.000.000,Fiat,Số sàn,Sedan,600000,2001,Xăng,5,Đã sử dụng,
Accent,100.000.000,Hyundai,Tự động,Sedan,,2021,Xăng,5,Mới,Việt Nam
Cerato,428.000.000,Kia,Số sàn,Sedan,65000,2019,Xăng,5,Đã sử dụng,Việt Nam
Innova,383.000.000,Toyota,Số sàn,Minivan (MPV),87000,2015,Xăng,8,Đã sử dụng,Việt Nam
Accent,465.000.000,Hyundai,Tự động,Sedan,,2021,Xăng,5,Mới,Việt Nam
